සෙල්ලිපි අංකය,අක්ෂර පරිවර්තනය,පරිවර්තනය
746,746 [1] බත-චිතගුතශ | පරුමක-තිමරශ | පරුමක-තිශහ තිණි-ඣනන ලෙණෙ ශගශ,ප්‍රධානි චිත්තගුත්තගේ. ප්‍රමුඛ තිමරගේ. ප්‍රමුඛ තිස්සගේ. [මෙම] මිනිසුන් තිදෙනාගේ ලෙණ සංඝයාට [දෙන ලදී].
747,747 [2] ගමික-අනුඩිය ලෙණෙ | ගමික-ශොණහ ලෙණෙ ශගශ,ගම් ප්‍රධානි අනුඩිගේ ලෙණ. ගම් ප්‍රධානි සොණගේ ලෙණ සංඝයාට [දෙන ලදී].
748,748 [3] අචිරිය-කණදතශ [ඣ]ය උපශික-අනුරදිය ලෙණෙ ශගශ,ආචාර්ය කණ්හදත්තගේ භාර්යාව වන උපාසිකා අනුරාධීගේ ලෙණ සංඝයාට [දෙන ලදී].
749,749 [4] පරුමක-දෙවනකතශ පුත අචරිය-කණදත[ශ],ප්‍රමුඛ දෙවනක්ඛත්තගේ පුත් වන ආචාර්ය කණ්හදත්තගේ.
750,750 [5] පරුමක-තබතිශ-පුත පරුමක-තිශහ ලෙණෙ ශගශ,ප්‍රමුඛ තම්බ-තිස්සගේ පුත් වන ප්‍රමුඛ තිස්සගේ ලෙණ සංඝයාට [දෙන ලදී].
751,751 [6] ගමික-ශුරිගුත-පුත දිනහ ලෙණෙ ශගශ,ගම් ප්‍රධානි සුරියගුත්තගේ පුත් වන දිනනගේ ලෙණ සංඝයාට [දෙන ලදී].
752,752 උපශක-දිනහ ලෙණෙ මනපදශනෙ ශගශ,උපාසක දින්නගේ මනාපදස්සන [නම්] ලෙණ සංඝයාට [දෙන ලදී].
753,753 [1] අචිරිය-පුත-පුශමිතහ ලෙණෙ ශගශ,ආචාර්යගේ පුත් වන ඵුස්සමිත්තගේ ලෙණ සංඝයාට [දෙන ලදී].
754,754 [2] පරුමක ........... යලි-ඣිතය උපශික-රිතය ලෙණෙ,ප්‍රමුඛ ............ යලිගේ දියණිය වන උපාසිකා රිතගේ ලෙණ.
755,755 [3] පරුමක-ච ........... පරුමක-නකලි උපශික-ශිවය ච බත-තිශබුතිය ච ලෙණෙ ශගශ,"ප්‍රමුඛ ච........... ප්‍රමුඛ නකලි, උපාසිකා සිවගේ ද ප්‍රධානි තිස්සභූතිගේ ද ලෙණ සංඝයාට [දෙන ලදී]."
756,756 [1] රඣ-ශිවශ දනෙ වශ-තෙරශ ලෙණෙ,සිව රජුගේ පරිත්‍යාගය; වංස තෙරුණ්ගේ ලෙණ.
757,757 [2] රඣ-ශිව-පුත-අය-ශිවහ පුත අය-ශිවහ මහශුදශනෙ ලෙණෙ,සිව රජුගේ පුත් වන සිව කුමරුගේ පුත් වූ සිව කුමරුගේ මහාසුදස්සන [නම්] ලෙණ.
758,758 [1] පරුමක-තිශ-පුත-බමදතශ ලෙණෙ අගත-අනග[ත]-චතු-දිශ-ශගශ පදිටිතෙ,ප්‍රමුඛ තිස්සගේ පුත් වන බ්‍රහ්මදත්තගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයා උදෙසා පිහිටුවී.
759,759 [2] උපශික ...........,උපාසිකා ............
760,760 [1] බත-පුශදෙවශ ලෙණෙ(2) බත-ගුතශ ලෙණෙ ශගශ(3) ගපති .......... හණ ලෙණෙ ශගශ,ප්‍රධානි ඵුස්සදේවගේ ලෙණ; ප්‍රධානි ගුත්තගේ ලෙණ සංඝයාට [දෙන ලදී]; ගෘහපති ........... නණ ලෙණ සංඝයාට [දෙන ලදී].
761,761 [1] අබි-උපලය අයක පරුමක-ශුමන-පුත පරුමක-තිශහ ලෙණෙ,උප්පලා කුමරියගේ ආදායම් පාලක ප්‍රමුඛ සුමනගේ පුත් වන ප්‍රමුඛ තිස්සගේ ලෙණ.
762,762 [2] ගමික-චදන-පුත-කුබරශ ලෙණෙ,ගම් ප්‍රධානි චන්දනගේ පුත් වන කුබරගේ ලෙණ.
763,763 [3] ගමික-පදින ශගශ කටෙ,ගම් ප්‍රධානි පදින්න සංඝයා උදෙසා පිහිටුවී.
764,764 ගහපති-මහතිශහ ලෙණෙ ශගශ,ගෘහපති මහාතිස්සගේ ලෙණ සංඝයාට [දෙන ලදී].
765,765 [1] ............. [පු]ත-පුශදෙවශ ලෙණෙ ශගශ,............... පුත් වන ඵුස්සදේවගේ ලෙණ සංඝයාට [දෙන ලදී].
766,766 [2] පුශදෙවශ පුත ............ ගුතශ දනෙ ලෙණෙ,ඵුස්සදේවගේ පුත් වන ............ගුත්තගේ ත්‍යාගයක් වන ලෙණ.
767,767 [3] උපශික-ශොනය ලෙණෙ [චතු-දි]ශ-ශගශ පදිටිතෙ නම,උපාසිකා සොණාගේ ලෙණ සතරදෙස සංඝයාට [දෙන ලදී]. පතිට්ඨිත නම් [ලෙන].
768,768 [1] උප[ශො]ණ-අපි අය-කෙරහ පුත අය-මහශිවහ ලෙණෙ මනපදශනෙ චතු-දිශ-ශගශ දිනෙ,උපසොණවාපිහි කෙර කුමරුගේ පුත් වන මහාසිව කුමරුගේ මනාපදස්සන නම් ලෙණ සතරදෙස සංඝයාට දෙන ලදී.
769,769 [2] තිශරකිත-තෙරහ මහලෙණෙ අපරිමිත ........... ක ............ අගත-අනගත-චතු-දිශ-ශගශ,තිස්සරක්ඛිත තෙරුණ්ගේ මහාලෙණ අපරිමිත ............. ක ............ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට දෙන ලදී.
770,770 [1] ........... හ ලෙණෙ අගත-අනගත චතු-දිශ-ශගශ,.............. ගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
771,771 [2] පරුමක-උතරගුත-පුතන පරුමක-චුලහ බත-කශබහ,ප්‍රමුඛ උත්තරගුත්තගේ පුතුන් වන ප්‍රමුඛ චුලගේ සහ ප්‍රධානි කස්සපගේ.
772,772 ශගශ පරුමක-පුශ-පුත පරුමක-ශුදෙවහ ලෙණෙ,සංඝයාට ප්‍රමුඛ ඵුස්සගේ පුත් වන ප්‍රමුඛ සුදෙවගේ ලෙණ.
773,773 ............. [අ]ගිදත[හ ලෙ]ණෙ ශගශ,.............. අග්ගිදත්තගේ ලෙණ සංඝයාට [දෙන ලදී].
774,774 [1] ............ දතහ ශමුදහ ලෙණෙ,.............. දත්තගේ [සහ] සමුද්දගේ ලෙණ.
775,775 [2] (1) (පරුමක) ශුමනහ(2) පරුමකලු ශුමය,ප්‍රමුඛ සුමනගේ ; නායිකා සුම්මාගේ.
776,776 [3] (1) පරුමක ශොණ-පුතශ(2) බත-පුනශගුතශ ලෙණෙ,ප්‍රමුඛ සොණගේ පුත් වන ප්‍රධානි පුනශගුතගේ ලෙණ.
777,777 [1] ගමික-නග-පුත ගමික-ශබහ ගමික-ශුමනශ එතන ලෙණෙ අගත-අනගත [චතු-දිශ ශගශ],ගම් ප්‍රධානි නාගගේ පුත් ගම් ප්‍රධානි සබගේ ගම් ප්‍රධානි සුමනගේ. ඔවුන්ගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට.
778,778 [2] ගපති-කොටය-වෙලු-පුත-තිශහ ලෙණෙ අනුඩිය ලෙණෙ,ගම් ප්‍රධානි කොටය-වෙලුගේ පුත් වන තිස්සගේ ලෙණ ; අනුඩිගේ ලෙණ.
779,779 ගමික-සොණ-පුත දිග-ශුමනශ ච දමරකිතශ ච ලෙණෙ මනපදශනෙ,ගම් ප්‍රධානි සොණගේ පුත් වන දීඝ-සුමනගේ ද ධම්මරක්ඛිතගේ ද මනාපදස්සන (නම්) ලෙණ.
780,780 ගමික-ශිව-කුලශ දනෙ ශගශ,ගම් ප්‍රධානි සිවගේ පවුලේ පරිත්‍යාගය සංඝයාට.
781,781 උපතිශහ,උපතිස්සගේ.
781a,781a (a) [1] තිශහ (b) මුලදෙවශ (c) ගමික ලඣකශ (d) ගමික වශබස ලෙණෙ ශගශ,(a) තිස්සගේ (b) මූලදෙවගේ (c) ගම් ප්‍රධානි ලංඡක (d) ගම් ප්‍රධානි වසභගේ ලෙණ සංඝයාට [දෙන ලදී].
782,782 [1] ගමික-කඩක-කුලශ ලෙණෙ ශගශ නියතෙ,ගම් ප්‍රධානි කඩක පවුලේ ලෙණ සංඝයාට පවරා දෙන ලදී.
783,783 [2] උපශක-මෙරය-තිශහ ලෙණෙ ශගශ නියතෙ,උපාසක මොරිය තිස්සගේ ලෙණ සංඝයාට දෙන ලදී.
784,784 [1] බත-දමගුතහ ලෙණෙ,ප්‍රධානි ධම්මගුත්තගේ ලෙණ.
785,785 [2] කැඩී ගොස් ඇත. 'ප්‍රමුඛ' යන අර්ථය සහිත පරුමක යන පදය පමණක් දක්නට ඇත.,
786,786 (1) අය-දුහතර-පුත-අය-ශිව-පුත අය-දුහතරශ ලෙණෙ මනපදශනෙ නම අගත-අනගත-චතු-දිශ-ශගශ දිනෙ(2) අනුඩිගමශි එකෙ පටකෙ බතශනගරශි එකෙ පටකෙ,"දුහතර කුමරුගේ පුත් වන සිව කුමරුගේ පුත් වූ දුහතර කුමරුගේ මනාපදස්සන නම් වූ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට දෙන ලදී. [ලෙණ සඳහා ප්‍රදානය කරන ලද්දේ] :- අනුඩිගමින් එක් කොටසක්, බතස-නගරයෙන් එක් කොටසක්."
787,787 ශුවිශක-තෙරශ අතිවශික බත-උපතිශහ ලෙණෙ,සුවිසාඛ තෙරුණ්ගේ අන්තේවාසික වූ ප්‍රධානි උපතිස්සගේ ලෙණ.
788,788 [1] (1) ගපති-තිහලිය උපශක-තිශහ(2) නිතදෙවහ ලෙණෙ,"ගෘහපති තිහලිගේ, උපාසක තිස්සගේ, මිත්තදෙවගේ ලෙණ."
789,789 [2] උපශක-තිශහ ලෙණෙ,උපාසක තිස්සගේ ලෙණ.
790,790 ගමික රොණිගුතශ බරිය ..............,ගම් ප්‍රධානි රොණිගුතගේ භාර්යාව ............
791,791 අඩිකය-උතරහ දුවෙ කහපණෙ මණිකර-පුශ ............. නි ............ අ ........... චිලිය කශපණෙ,"වාරි කාර්මික උත්තරගේ කහවණු දෙකක්,  මැණික්කරු ඵුස්ස ............ අ .......... ගේ කහාපණ."
792,792 [1] උපලි-ගමශි ප[ටකෙ] ක[චර-ග]මශි ප(ටකෙ) දෙවනපියශ බතික රඣ-දුශතරශ පුත අය-ශිවශ-පුත අය-දුශතර-පුතශ ගමණි ශිවෙන කරිත මහශුදශනෙ ලෙණෙ අගත-අනගත චතු-දිශ-ශගශ දිනෙ,උපලි-ගමෙහි කොටසක් සහ ක[චර-ග]ම කොටසක් (ලෙණ වෙත ප්‍රදානය කරන ලදී). දේවානම්පියගේ සහෝදරයා වන රජ දුශතරගේ පුත් වන සිව කුමරුගේ පුත් වූ දුශතර කුමරුගේ පුත් වන ගාමණී සිව කරවන ලද මහාසුදස්සන නම් ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට දෙන ලදී.
